,data_provider_id,taxonomy_id,taxonomy_entry_code,data_provider_name,taxonomy_name,taxonomy_entry_category,taxonomy_entry_name,seg1,seg1_total,seg1_uu,seg1_pct,seg2,seg2_total,seg2_uu,seg2_pct,index
2125,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,big_life_events,18199,1475,0.08,parent_helpers,14273,673,0.05,172
2249,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,big_life_events,18199,948,0.05,parent_helpers,14273,440,0.03,169
3118,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,big_life_events,18199,1743,0.1,parent_helpers,14273,909,0.06,150
4182,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,big_life_events,18199,4824,0.27,parent_helpers,14273,2791,0.2,136
6199,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,big_life_events,18199,9118,0.5,parent_helpers,14273,5966,0.42,120
6804,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,big_life_events,18199,12361,0.68,parent_helpers,14273,8327,0.58,116
6920,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,big_life_events,18199,13494,0.74,parent_helpers,14273,9223,0.65,115
7166,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,big_life_events,18199,14217,0.78,parent_helpers,14273,9812,0.69,114
19870,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,big_life_events,18199,1475,0.08,pragmatic_buyers,16928,1243,0.07,110
21358,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,big_life_events,18199,4824,0.27,pragmatic_buyers,16928,4227,0.25,106
21585,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,big_life_events,18199,12361,0.68,pragmatic_buyers,16928,10935,0.65,105
21714,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,big_life_events,18199,13494,0.74,pragmatic_buyers,16928,11952,0.71,105
21734,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,big_life_events,18199,9118,0.5,pragmatic_buyers,16928,8069,0.48,105
21749,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,big_life_events,18199,14217,0.78,pragmatic_buyers,16928,12587,0.74,105
22094,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,big_life_events,18199,1743,0.1,pragmatic_buyers,16928,1553,0.09,104
25040,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,big_life_events,18199,948,0.05,pragmatic_buyers,16928,926,0.05,95
32615,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,big_life_events,18199,948,0.05,random,14074,573,0.04,128
32815,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,big_life_events,18199,1743,0.1,random,14074,1072,0.08,126
32866,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,big_life_events,18199,1475,0.08,random,14074,906,0.06,126
35293,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,big_life_events,18199,4824,0.27,random,14074,3240,0.23,115
38102,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,big_life_events,18199,9118,0.5,random,14074,6558,0.47,108
39473,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,big_life_events,18199,12361,0.68,random,14074,9117,0.65,105
39896,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,big_life_events,18199,13494,0.74,random,14074,10060,0.71,104
40175,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,big_life_events,18199,14217,0.78,random,14074,10651,0.76,103
46137,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,big_life_events,18199,948,0.05,status_conscious,12977,470,0.04,144
47183,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,big_life_events,18199,1475,0.08,status_conscious,12977,793,0.06,133
47728,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,big_life_events,18199,1743,0.1,status_conscious,12977,968,0.07,128
49382,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,big_life_events,18199,4824,0.27,status_conscious,12977,2951,0.23,117
51097,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,big_life_events,18199,9118,0.5,status_conscious,12977,5969,0.46,109
52394,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,big_life_events,18199,12361,0.68,status_conscious,12977,8525,0.66,103
52716,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,big_life_events,18199,13494,0.74,status_conscious,12977,9542,0.74,101
52964,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,big_life_events,18199,14217,0.78,status_conscious,12977,10110,0.78,100
64438,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,parent_helpers,14273,9812,0.69,big_life_events,18199,14217,0.78,88
64608,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,parent_helpers,14273,9223,0.65,big_life_events,18199,13494,0.74,87
64762,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,parent_helpers,14273,8327,0.58,big_life_events,18199,12361,0.68,86
65415,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,parent_helpers,14273,5966,0.42,big_life_events,18199,9118,0.5,83
67162,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,parent_helpers,14273,2791,0.2,big_life_events,18199,4824,0.27,74
68288,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,parent_helpers,14273,909,0.06,big_life_events,18199,1743,0.1,66
69004,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,parent_helpers,14273,440,0.03,big_life_events,18199,948,0.05,59
69068,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,parent_helpers,14273,673,0.05,big_life_events,18199,1475,0.08,58
77930,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,parent_helpers,14273,9812,0.69,pragmatic_buyers,16928,12587,0.74,92
77944,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,parent_helpers,14273,9223,0.65,pragmatic_buyers,16928,11952,0.71,92
78503,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,parent_helpers,14273,8327,0.58,pragmatic_buyers,16928,10935,0.65,90
79010,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,parent_helpers,14273,5966,0.42,pragmatic_buyers,16928,8069,0.48,88
80824,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,parent_helpers,14273,2791,0.2,pragmatic_buyers,16928,4227,0.25,78
82066,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,parent_helpers,14273,909,0.06,pragmatic_buyers,16928,1553,0.09,69
82725,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,parent_helpers,14273,673,0.05,pragmatic_buyers,16928,1243,0.07,64
83329,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,parent_helpers,14273,440,0.03,pragmatic_buyers,16928,926,0.05,56
93355,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,parent_helpers,14273,9812,0.69,random,14074,10651,0.76,91
93561,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,parent_helpers,14273,9223,0.65,random,14074,10060,0.71,90
93582,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,parent_helpers,14273,8327,0.58,random,14074,9117,0.65,90
93667,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,parent_helpers,14273,5966,0.42,random,14074,6558,0.47,90
94580,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,parent_helpers,14273,2791,0.2,random,14074,3240,0.23,85
94603,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,parent_helpers,14273,909,0.06,random,14074,1072,0.08,84
95578,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,parent_helpers,14273,440,0.03,random,14074,573,0.04,76
95877,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,parent_helpers,14273,673,0.05,random,14074,906,0.06,73
106169,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,parent_helpers,14273,5966,0.42,status_conscious,12977,5969,0.46,91
106559,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,parent_helpers,14273,8327,0.58,status_conscious,12977,8525,0.66,89
106689,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,parent_helpers,14273,9812,0.69,status_conscious,12977,10110,0.78,88
106721,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,parent_helpers,14273,9223,0.65,status_conscious,12977,9542,0.74,88
107028,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,parent_helpers,14273,2791,0.2,status_conscious,12977,2951,0.23,86
107120,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,parent_helpers,14273,440,0.03,status_conscious,12977,470,0.04,85
107133,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,parent_helpers,14273,909,0.06,status_conscious,12977,968,0.07,85
107884,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,parent_helpers,14273,673,0.05,status_conscious,12977,793,0.06,77
115552,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,pragmatic_buyers,16928,926,0.05,big_life_events,18199,948,0.05,105
118575,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,pragmatic_buyers,16928,1553,0.09,big_life_events,18199,1743,0.1,96
118781,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,pragmatic_buyers,16928,12587,0.74,big_life_events,18199,14217,0.78,95
118823,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,pragmatic_buyers,16928,8069,0.48,big_life_events,18199,9118,0.5,95
118970,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,pragmatic_buyers,16928,10935,0.65,big_life_events,18199,12361,0.68,95
119016,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,pragmatic_buyers,16928,11952,0.71,big_life_events,18199,13494,0.74,95
119368,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,pragmatic_buyers,16928,4227,0.25,big_life_events,18199,4824,0.27,94
120348,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,pragmatic_buyers,16928,1243,0.07,big_life_events,18199,1475,0.08,91
127423,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,pragmatic_buyers,16928,926,0.05,parent_helpers,14273,440,0.03,177
128183,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,pragmatic_buyers,16928,1243,0.07,parent_helpers,14273,673,0.05,156
128954,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,pragmatic_buyers,16928,1553,0.09,parent_helpers,14273,909,0.06,144
130294,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,pragmatic_buyers,16928,4227,0.25,parent_helpers,14273,2791,0.2,128
132085,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,pragmatic_buyers,16928,8069,0.48,parent_helpers,14273,5966,0.42,114
132710,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,pragmatic_buyers,16928,10935,0.65,parent_helpers,14273,8327,0.58,111
133110,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,pragmatic_buyers,16928,11952,0.71,parent_helpers,14273,9223,0.65,109
