county,state
ANOKA,Minnesota
CASS,Minnesota
CHIPPEWA,Minnesota
CHISAGO,Minnesota
COTTONWOOD,Minnesota
CROW WING,Minnesota
DAKOTA,Minnesota
DOUGLAS,Minnesota
FARIBAULT,Minnesota
GOODHUE,Minnesota
GRANT,Minnesota
HENNEPIN,Minnesota
HUBBARD,Minnesota
ISANTI,Minnesota
BELTRAMI,Minnesota
JACKSON,Minnesota
KANABEC,Minnesota
KANDIYOHI,Minnesota
LAC QUI PARLE,Minnesota
LE SUEUR,Minnesota
BENTON,Minnesota
LYON,Minnesota
MCLEOD,Minnesota
MEEKER,Minnesota
MILLE LACS,Minnesota
MORRISON,Minnesota
BIG STONE,Minnesota
NICOLLET,Minnesota
PINE,Minnesota
POPE,Minnesota
RAMSEY,Minnesota
REDWOOD,Minnesota
RENVILLE,Minnesota
RICE,Minnesota
SCOTT,Minnesota
SHERBURNE,Minnesota
SIBLEY,Minnesota
STEARNS,Minnesota
STEELE,Minnesota
STEVENS,Minnesota
SWIFT,Minnesota
TODD,Minnesota
TRAVERSE,Minnesota
WABASHA,Minnesota
WADENA,Minnesota
WASECA,Minnesota
WASHINGTON,Minnesota
WRIGHT,Minnesota
YELLOW MEDICINE,Minnesota
CARVER,Minnesota